Timestamp,Dónde estás trabajando,Dedicación,Tipo de contrato,Último salario mensual o retiro BRUTO (en pesos argentinos),Último salario mensual o retiro NETO (en pesos argentinos),Pagos en dólares,Si tu sueldo está dolarizado ¿Cuál fue el último valor del dólar que tomaron?,Recibís algún tipo de bono,A qué está atado el bono,¿Tuviste actualizaciones de tus ingresos laborales durante 2024? ,¿De qué % fue el ajuste total acumulado?,¿En qué mes fue el último ajuste?,Cómo considerás que están tus ingresos laborales comparados con el semestre anterior,¿Contás con beneficios adicionales?,¿Qué tan conforme estás con tus ingresos laborales?,¿Estás buscando trabajo?,Trabajo de,Años de experiencia,Antigüedad en la empresa actual,Años en el puesto actual,¿Cuántas personas tenés a cargo? ,Plataformas que utilizas en tu puesto actual ,Lenguajes de programación o tecnologías que utilices en tu puesto actual,"Frameworks, herramientas y librerías que utilices en tu puesto actual",Bases de datos,QA / Testing,Cantidad de personas en tu organización,Modalidad de trabajo,Si trabajás bajo un esquema híbrido ¿Cuántos días a la semana vas a la oficina? ,"En los últimos 6 meses, ¿se aplicó alguna política de ajustes salariales?","En los últimos 6 meses, ¿hubo reducción de personal?",¿La recomendás como un buen lugar para trabajar?,"¿Qué tanto estás usando Copilot, ChatGPT u otras herramientas de IA para tu trabajo?",¿Salir o seguir contestando?,Máximo nivel de estudios,Estado,Carrera,Institución educativa,¿Salir o seguir contestando sobre las guardias? ,¿Tenés guardias? ,Cuánto cobrás por guardia,Aclará el número que ingresaste en el campo anterior,¿Salir o seguir contestando sobre estudios? ,Tengo (edad),Género,¿Habías respondido nuestra encuesta en ediciones anteriores?,¿Cuáles considerás que son las mejores empresas de IT para trabajar en este momento en tu ciudad?
5/1/2024 11:32:55,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3800000,2500000,,,3+ sueldos,Mix de las anteriores,Más de tres,120,Marzo,2,"Abono de celular, Abono de Internet, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas, Horarios flexibles, Licencia por nacimiento extendida",2,"No, pero escucho ofertas.",Product Owner,10,9,2,4,"Amazon Web Services, Azure","HTML, Python, SQL",Ninguno de los anteriores,"Amazon DynamoDB, Amazon RDS/Aurora, MySQL, Oracle, PostgreSQL",Ninguna de las anteriores,Más de 10000 personas,Híbrido (presencial y remoto),1,,No sé,6,1,Responder sobre guardias,,,,,,"Sí, pasiva",0,Bruto,Terminar encuesta,37,Masculino,Sí,
5/1/2024 11:36:12,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1700000,1500000,Cobro parte del salario en dólares,1000,No,No recibo bono,Dos,50,Marzo,4,Ninguna de las anteriores,3,"No, pero escucho ofertas.",Developer,3,1,3,0,"Amazon Web Services, Docker","HTML, Javascript, PHP, TypeScript","Laravel, Next.js, React.js, WordPress, Tailwind",MariaDB,Jest,De 2 a 10 personas,100% remoto,0,"Si, acorde a inflación ",No,10,5,Responder sobre mis estudios,Posgrado/Especialización,Incompleto,Publicidad ,UADE - Universidad Argentina De la Empresa,Terminar encuesta,,,,,31,Masculino,No,
5/1/2024 11:37:21,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),6000000,4000000,,,De uno a tres sueldos,Mix de las anteriores,Tres,60,Abril,4,"Abono de celular, Descuento en gimnasios / Clases de gimnasia online, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Descuentos varios (Clarín 365, Club La Nación, etc), Estacionamiento gratuito / subvencionado, Horarios flexibles, Lactario en la oficina, Licencia por nacimiento extendida, Guardería o pago para cubrir costo de guardería, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, pero escucho ofertas.",Technical Leader,9,4,2,0,"Amazon Web Services, Docker, Kubernetes","CSS, HTML, Javascript","Angular, Node.js, React.js","Amazon RDS/Aurora, PostgreSQL","Cucumber, Jest, Mocha, Playwright",De 1001 a 2000 personas,Híbrido (presencial y remoto),1,,No,9,4,Responder sobre guardias,Universitario,Completo,Licenciatura en gestión de proyectos de software,UNLaM - Universidad Nacional de La Matanza,Terminar encuesta,"Sí, pasiva",1000000,Bruto,Responder sobre mis estudios,38,Masculino,Sí,
5/1/2024 11:37:50,Provincia de Buenos Aires,Full-Time,Staff (planta permanente),2000000,1900000,Cobro parte del salario en dólares,,Menos de un sueldo,Performance individual,Tres,75,Marzo,4,Ninguna de las anteriores,4,"No, estoy muy conforme.",Technical Leader,3,3,3,7,"Amazon Web Services, Docker, Kubernetes","Javascript, TypeScript",Node.js,"PostgreSQL, Redis",Postman,De 11  a 50  personas,100% remoto,0,,No,8,3,Responder sobre mis estudios,Universitario,Incompleto,Abogacía,Universidad Siglo 21,Responder sobre guardias,"Sí, pasiva",0,Porcentaje de mi sueldo bruto,Terminar encuesta,28,Masculino,Sí,
5/1/2024 11:37:55,Ciudad Autónoma de Buenos Aires,Part-Time,Staff (planta permanente),1500000,1200000,,,Un sueldo,Performance individual,Más de tres,30,Marzo,3,"Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",Developer,2,2,2,0,"Docker, Linux","CSS, Javascript, Python, SQL, TypeScript","Next.js, React.js, Fastapi","ElasticSearch, Microsoft SQL Server, PostgreSQL",Ninguna de las anteriores,De 201 a 500 personas,100% remoto,0,,No sé,8,2,Responder sobre mis estudios,Universitario,En curso,Ingeniería en Informática,UBA - Universidad de Buenos Aires,Terminar encuesta,,,,,26,Masculino,Sí,
5/1/2024 11:38:30,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1900000,1600000,,,De uno a tres sueldos,Performance de la compañía,Uno,16,Marzo,2,"Abono de celular, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Cuota para universidad / posgrados, Descuentos varios (Clarín 365, Club La Nación, etc), Horarios flexibles, Licencia por nacimiento extendida, Guardería o pago para cubrir costo de guardería, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, estoy muy conforme.",Project Manager,12,1,10,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 5001 a 10000 personas,Híbrido (presencial y remoto),1,Ajuste cada cuatro meses.,No sé,10,0,Terminar encuesta,,,,,,,,,,37,Femenino,Sí,
5/1/2024 11:38:38,Córdoba,Full-Time,Contractor,1000000,1000000,Cobro todo el salario en dólares,1500,No,No recibo bono,No,0,No tuve,4,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Licencia por nacimiento extendida, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",Data Engineer,5,3,3,0,"Azure, Docker, Windows Server","C#, Python, R, Scala, SQL",Ninguno de los anteriores,"Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MySQL, PostgreSQL, SQLite, Teradata",Postman,De 101 a 200 personas,100% remoto,0,Si pero para los que nos atan en contractor,No,8,5,Responder sobre guardias,Universitario,En curso,Ingeniería en Software,Universidad Siglo 21,Responder sobre guardias,No,0,Neto,Terminar encuesta,27,Masculino,Sí,"Globant,Accenture"
5/1/2024 11:38:56,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),850000,2700000,Cobro parte del salario en dólares,1010,No,No recibo bono,Uno,65,Abril,2,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Horarios flexibles, Licencia por nacimiento extendida, Vacaciones flexibles (adicionales a las reglamentarias)",2,"No, pero escucho ofertas.",Developer,9,7,6,4,"Amazon Web Services, Azure, Docker, Firebase","CSS, HTML, Javascript, SQL, TypeScript","Angular, Bootstrap, Cordova, Flutter, jQuery, Next.js, Node.js, React.js","MongoDB, MySQL, PostgreSQL, SQLite","Jest, JUnit, Karma, Postman, Visual Studio Coded UI",De 201 a 500 personas,100% remoto,0,,No sé,8,2,Terminar encuesta,,,,,,,,,,31,Masculino,Sí,
5/1/2024 11:39:33,Provincia de Buenos Aires,Full-Time,Staff (planta permanente),990000,821000,,,No,No recibo bono,Tres,69,Marzo,3,"Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",2,"Sí, estoy buscando activamente.",Developer,4,2,1,0,"Amazon Web Services, Docker, Linux, Serverless","Bash/Shell, CSS, HTML, Javascript, PHP, Python, SQL, TypeScript","Bootstrap, jQuery, Node.js, React.js, Symfony","Amazon Redshift, Amazon RDS/Aurora, MongoDB","Jest, JUnit, PHPUnit, Postman",De 11  a 50  personas,Híbrido (presencial y remoto),2,Si,No sé,7,2,Terminar encuesta,,,,,,,,,,25,Masculino,No,
5/1/2024 11:39:47,Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,3300000,3000000,Cobro todo el salario en dólares,1000,No,No recibo bono,Uno,100,Abril,4,Ninguna de las anteriores,3,"No, pero escucho ofertas.",Technical Leader,5,5,2,6,"Docker, Google Cloud Platform, Kubernetes",".NET, Javascript, TypeScript",".NET Core, Angular",Google Cloud Storage,Jest,De 11  a 50  personas,100% remoto,0,,No,10,1,Terminar encuesta,,,,,,,,,,34,Masculino,Sí,
